Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,9.210000,9.296000,9.210000,9.272000,9.272000,770500
2018-10-02,9.262000,9.300000,9.220000,9.264000,9.264000,634000
2018-10-03,9.150000,9.150000,9.086000,9.100000,9.100000,629000
2018-10-04,8.986000,9.000000,8.762000,8.840000,8.840000,2136500
2018-10-05,9.034000,9.078000,8.966000,9.030000,9.030000,693500
2018-10-08,9.000000,9.046000,8.918000,8.974000,8.974000,804500
2018-10-09,8.836000,8.908000,8.800000,8.880000,8.880000,772000
2018-10-10,8.800000,8.852000,8.620000,8.630000,8.630000,1462000
2018-10-11,8.522000,8.656000,8.486000,8.558000,8.558000,2466000
2018-10-12,8.752000,8.896000,8.716000,8.820000,8.820000,2565000
2018-10-15,8.792000,8.792000,8.690000,8.720000,8.720000,1349000
2018-10-16,8.810000,8.916000,8.810000,8.912000,8.912000,1130000
2018-10-17,8.860000,8.912000,8.764000,8.820000,8.820000,744500
2018-10-18,8.800000,8.858000,8.660000,8.686000,8.686000,512000
2018-10-19,8.502000,8.502000,8.344000,8.350000,8.350000,2210500
2018-10-22,8.458000,8.458000,8.364000,8.386000,8.386000,538000
2018-10-23,8.270000,8.360000,8.216000,8.330000,8.330000,874000
2018-10-24,8.254000,8.254000,8.006000,8.016000,8.016000,1329500
2018-10-25,7.962000,8.082000,7.926000,8.036000,8.036000,3442500
2018-10-26,7.740000,7.824000,7.684000,7.776000,7.776000,779500
2018-10-29,7.820000,7.820000,7.510000,7.628000,7.628000,2951500
2018-10-30,7.670000,7.700000,7.352000,7.480000,7.480000,5231500
2018-10-31,7.702000,7.888000,7.636000,7.826000,7.826000,2656000
2018-11-01,7.850000,7.884000,7.764000,7.878000,7.878000,1341000
2018-11-02,7.934000,7.952000,7.780000,7.848000,7.848000,774500
2018-11-05,7.752000,7.796000,7.718000,7.742000,7.742000,1067000
2018-11-06,7.744000,7.824000,7.744000,7.780000,7.780000,774000
2018-11-07,7.962000,8.074000,7.962000,8.062000,8.062000,892000
2018-11-08,8.184000,8.228000,8.148000,8.166000,8.166000,443000
2018-11-09,7.970000,8.036000,7.940000,8.020000,8.020000,5399000
2018-11-12,7.956000,7.956000,7.780000,7.782000,7.782000,1904000
2018-11-13,7.734000,7.824000,7.732000,7.746000,7.746000,1045500
2018-11-14,7.822000,7.822000,7.684000,7.734000,7.734000,982500
2018-11-15,7.660000,7.750000,7.622000,7.704000,7.704000,2120500
2018-11-16,7.030000,7.260000,6.992000,7.200000,7.200000,3058000
2018-11-19,7.356000,7.356000,7.200000,7.228000,7.228000,1865000
2018-11-20,6.850000,6.880000,6.780000,6.790000,6.790000,2822000
2018-11-21,6.902000,7.006000,6.822000,6.964000,6.964000,2727500
